Nodo,cluster_euclidean,cluster_dtw,cluster_softdtw,Nombre,Sistema,Zona_Carga,Estado,Region_Tx
05FZA-115,5,5,6,Francisco Zarco,SIN,LAGUNA,DURANGO,LAGUNA
04FMA-115,6,2,3,Fatima,SIN,GUAYMAS,SONORA,OBREGON
05AEP-115,6,2,3,Aeropuerto,SIN,JUAREZ,CHIHUAHUA,JUAREZ
06PRY-115,5,6,6,Panel Rey,SIN,MONTERREY,NUEVO LEON,MONTERREY
02SNS-115,0,0,1,Santa Sofia,SIN,TEZIUTLAN,VERACRUZ DE IGNACIO DE LA LLAVE,POZA RICA
03SLD-230,0,0,2,San Luis Dos,SIN,SAN LUIS POTOSI,SAN LUIS POTOSI,SAN LUIS POTOSI
08PPO-115,2,3,4,Puerto Progreso,SIN,MERIDA,YUCATAN,MERIDA
03ING-69,0,0,5,Inguaran,SIN,APATZINGAN,MICHOACAN DE OCAMPO,GUADALAJARA
06LBR-115,0,0,2,Libramiento,SIN,HUASTECA,TAMAULIPAS,HUASTECA
02LAV-400,4,1,0,Laguna Verde,SIN,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,VERACRUZ
02CJT-115,4,1,0,Comitan,SIN,SAN CRISTOBAL,CHIAPAS,GRIJALVA
03IMP-115,0,0,5,Impamex,SIN,URUAPAN,MICHOACAN DE OCAMPO,CARAPAN
03CNS-69,0,0,5,Productos Farmaceuticos Collins,SIN,GUADALAJARA,JALISCO,GUADALAJARA
03RIG-115,0,0,2,Rio Grande Dos,SIN,FRESNILLO,ZACATECAS,AGUASCALIENTES
05DGN-115,5,5,6,Diagonal,SIN,LAGUNA,COAHUILA DE ZARAGOZA,LAGUNA
06RIB-138,5,6,6,Rio Bravo,SIN,REYNOSA,TAMAULIPAS,REYNOSA
04DYN-115,6,2,3,Dynatec,SIN,HERMOSILLO,SONORA,HERMOSILLO
05SFB-115,1,4,6,San Francisco De Borja,SIN,CUAUHTEMOC,CHIHUAHUA,CHIHUAHUA
04ORI-115,6,2,3,Oriente,SIN,CABORCA,SONORA,HERMOSILLO
03AYL-115,0,0,5,Arrayanal,SIN,MANZANILLO,COLIMA,MANZANILLO
03GKN-115,0,0,2,MGK Autopartes,SIN,CELAYA,GUANAJUATO,QUERETARO
01PXA-85,4,1,1,Pemex Azcapotzalco,SIN,VDM CENTRO,CIUDAD DE MEXICO,CENTRAL
05LGS-115,5,5,6,Laguna Solar,SIN,LAGUNA,COAHUILA DE ZARAGOZA,LAGUNA
04EFR-230,6,2,3,El Fresnal,SIN,NOGALES,SONORA,CANANEA
02CIV-115,4,1,1,Civac,SIN,MORELOS,MORELOS,PUEBLA
06MON-230,5,6,6,Monclova,SIN,MONCLOVA,COAHUILA DE ZARAGOZA,MONTERREY
02ADD-115,4,1,0,Agua Dulce Dos,SIN,COATZACOALCOS,VERACRUZ DE IGNACIO DE LA LLAVE,COATZACOALCOS
01XOC-230,4,1,1,Xochimilco,SIN,VDM SUR,CIUDAD DE MEXICO,CENTRAL
01TQC-115,0,1,1,Tiquicheo,SIN,CENTRO SUR,MICHOACAN DE OCAMPO,CENTRAL
08LAC-115,2,3,4,Lazaro Cardenas,SIN,CHETUMAL,QUINTANA ROO,CHETUMAL
06MTN-115,5,6,6,Montemorelos,SIN,MONTEMORELOS,NUEVO LEON,MONTERREY
05AMN-115,5,5,6,Amado Nervo,SIN,DURANGO,DURANGO,DURANGO
03GUD-69,0,0,5,Guadalajara Dos,SIN,GUADALAJARA,JALISCO,GUADALAJARA
06OVO-115,5,6,2,Olivo,SIN,VICTORIA,TAMAULIPAS,GUEMEZ
01TYA-230,4,1,1,Tacubaya,SIN,VDM CENTRO,CIUDAD DE MEXICO,CENTRAL
03HYL-69,0,0,5,Hilasal,SIN,CIENEGA,JALISCO,GUADALAJARA
05LEX-115,6,2,3,Lexmark,SIN,JUAREZ,CHIHUAHUA,JUAREZ
02MDB-230,4,1,1,Magdalena Dos Maniobras,SIN,TLAXCALA,TLAXCALA,PUEBLA
02MTL-115,4,1,1,Metlatonoc,SIN,CHILPANCINGO,GUERRERO,ACAPULCO
03MIL-69,0,0,5,Miravalle,SIN,GUADALAJARA,JALISCO,GUADALAJARA
04TSR-115,3,2,3,Subestacion Tres Rios,SIN,CULIACAN,SINALOA,CULIACAN
