Texto,Precio_Kg,Precio_Lt
1 Aguascalientes Aguascalientes ,19.22,10.38
1 Aguascalientes Asientos ,19.22,10.38
1 Aguascalientes El Llano ,19.22,10.38
1 Aguascalientes Jesús María ,19.22,10.38
1 Aguascalientes Pabellón de Arteaga ,19.22,10.38
1 Aguascalientes San Francisco de los Romo ,19.22,10.38
1 Aguascalientes San José de Gracia ,19.22,10.38
1 Aguascalientes Tepezalá ,19.22,10.38
1 Jalisco Villa Hidalgo ,19.22,10.38
1 Zacatecas Villa García ,19.22,10.38
2 Zacatecas Apozol ,19.66,10.62
2 Zacatecas Atolinga ,19.66,10.62
2 Zacatecas Benito Juárez ,19.66,10.62
2 Zacatecas El Plateado de Joaquín Amaro ,19.66,10.62
2 Zacatecas Huanusco ,19.66,10.62
2 Zacatecas Jalpa ,19.66,10.62
2 Zacatecas Juchipila ,19.66,10.62
2 Zacatecas Mezquital del Oro ,19.66,10.62
2 Zacatecas Momax ,19.66,10.62
2 Zacatecas Moyahua de Estrada ,19.66,10.62
2 Zacatecas Santa María de la Paz ,19.66,10.62
2 Zacatecas Tabasco ,19.66,10.62
2 Zacatecas Tepechitlán ,19.66,10.62
2 Zacatecas Teúl de González Ortega ,19.66,10.62
2 Zacatecas Tlaltenango de Sánchez Román ,19.66,10.62
2 Zacatecas Trinidad García de la Cadena ,19.66,10.62
2 Aguascalientes Calvillo ,19.66,10.62
3 Aguascalientes Cosío ,19.58,10.57
3 Aguascalientes Rincón de Romos ,19.58,10.57
3 Zacatecas Cuauhtémoc ,19.58,10.57
3 Zacatecas Genaro Codina ,19.58,10.57
3 Zacatecas Luis Moya ,19.58,10.57
4 Baja California Ensenada ,18.37,9.92
4 Baja California San Quintín ,18.37,9.92
5 Baja California Playas de Rosarito ,18.39,9.93
6 Baja California Sur Comondú ,21.97,11.86
7 Baja California Sur La Paz ,21.09,11.39
8 Baja California Sur Los Cabos ,21.78,11.76
9 Baja California Sur Loreto ,21.83,11.79
9 Baja California Sur Mulegé ,21.83,11.79
10 Baja California San Felipe ,18.69,10.09
10 Baja California Mexicali ,18.69,10.09
10 Baja California Tecate ,18.69,10.09
10 Baja California Tijuana ,18.69,10.09
11 Campeche Campeche ,18.83,10.17
11 Campeche Champotón ,18.83,10.17
11 Campeche Seybaplaya ,18.83,10.17
11 Campeche Tenabo ,18.83,10.17
12 Campeche Carmen ,18.64,10.07
13 Chiapas Cintalapa de Figueroa ,19.22,10.38
14 Chiapas La Trinitaria ,18.05,9.75
14 Chiapas Las Margaritas ,18.05,9.75
14 Chiapas Maravilla Tenejapa ,18.05,9.75
14 Chiapas Comitán de Domínguez ,19.38,10.47
14 Chiapas La Independencia ,19.38,10.47
14 Chiapas Las Rosas ,19.38,10.47
14 Chiapas Socoltenango ,19.38,10.47
14 Chiapas Tzimol ,19.38,10.47
15 Chiapas Benemérito de las Américas ,18.16,9.81
15 Chiapas Marqués de Comillas ,18.16,9.81
15 Chiapas Ocosingo ,18.16,9.81
15 Chiapas Altamirano ,19.51,10.54
15 Chiapas Chanal ,19.51,10.54
15 Chiapas Chilón ,19.51,10.54
15 Chiapas Oxchuc ,19.51,10.54
15 Chiapas Sabanilla ,19.51,10.54
15 Chiapas Sitalá ,19.51,10.54
15 Chiapas Tila ,19.51,10.54
15 Chiapas Tumbalá ,19.51,10.54
15 Chiapas Yajalón ,19.51,10.54
16 Chiapas Aldama ,19.47,10.51
16 Chiapas Amatenango del Valle ,19.47,10.51
16 Chiapas Chalchihuitán ,19.47,10.51
16 Chiapas Chamula ,19.47,10.51
16 Chiapas Chenalhó ,19.47,10.51
16 Chiapas El Bosque ,19.47,10.51
16 Chiapas Huitiupán ,19.47,10.51
16 Chiapas Huixtán ,19.47,10.51
16 Chiapas Larráinzar ,19.47,10.51
16 Chiapas Mitontic ,19.47,10.51
16 Chiapas Pantelhó ,19.47,10.51
16 Chiapas San Andrés Duraznal ,19.47,10.51
16 Chiapas San Cristóbal de las Casas ,19.47,10.51
16 Chiapas San Juan Cancuc ,19.47,10.51
16 Chiapas Santiago el Pinar ,19.47,10.51
16 Chiapas Simojovel ,19.47,10.51
16 Chiapas Tenejapa ,19.47,10.51
16 Chiapas Teopisca ,19.47,10.51
16 Chiapas Zinacantán ,19.47,10.51
17 Chiapas Amatenango de la Frontera ,17.76,9.59
17 Chiapas Cacahoatán ,17.76,9.59
17 Chiapas Frontera Comalapa ,17.76,9.59
17 Chiapas Frontera Hidalgo ,17.76,9.59
17 Chiapas Mazapa de Madero ,17.76,9.59
17 Chiapas Metapa ,17.76,9.59
17 Chiapas Motozintla ,17.76,9.59
17 Chiapas Suchiate ,17.76,9.59
17 Chiapas Tapachula ,17.76,9.59
17 Chiapas Tuxtla Chico ,17.76,9.59
17 Chiapas Unión Juárez ,17.76,9.59
17 Chiapas Acacoyagua ,19.07,10.30
17 Chiapas Acapetahua ,19.07,10.30
17 Chiapas Bejucal de Ocampo ,19.07,10.30
17 Chiapas Bella Vista ,19.07,10.30
17 Chiapas Chicomuselo ,19.07,10.30
17 Chiapas El Porvenir ,19.07,10.30
17 Chiapas Escuintla ,19.07,10.30
17 Chiapas Honduras de la Sierra ,19.07,10.30
17 Chiapas Huehuetán ,19.07,10.30
17 Chiapas Huixtla ,19.07,10.30
17 Chiapas La Grandeza ,19.07,10.30
17 Chiapas Mapastepec ,19.07,10.30
17 Chiapas Mazatán ,19.07,10.30
17 Chiapas Pijijiapan ,19.07,10.30
17 Chiapas Siltepec ,19.07,10.30
17 Chiapas Tuzantán ,19.07,10.30
17 Chiapas Villa Comaltitlán ,19.07,10.30
18 Chiapas Tonalá ,19.45,10.50
19 Chiapas Acala ,19.51,10.54
19 Chiapas Ángel Albino Corzo ,19.51,10.54
19 Chiapas Berriozábal ,19.51,10.54
19 Chiapas Bochil ,19.51,10.54
19 Chiapas Capitán Luis Ángel Vidal ,19.51,10.54
19 Chiapas Chiapa de Corzo ,19.51,10.54
19 Chiapas Chiapilla ,19.51,10.54
19 Chiapas Chicoasén ,19.51,10.54
19 Chiapas Copainalá ,19.51,10.54
19 Chiapas El Parral ,19.51,10.54
19 Chiapas Emiliano Zapata ,19.51,10.54
19 Chiapas Francisco León ,19.51,10.54
19 Chiapas Ixtapa ,19.51,10.54
19 Chiapas Jiquipilas ,19.51,10.54
19 Chiapas La Concordia ,19.51,10.54
19 Chiapas Mezcalapa ,19.51,10.54
19 Chiapas Montecristo de Guerrero ,19.51,10.54
19 Chiapas Nicolás Ruíz ,19.51,10.54
19 Chiapas Ocozocoautla de Espinosa ,19.51,10.54
19 Chiapas Osumacinta ,19.51,10.54
19 Chiapas San Fernando ,19.51,10.54
19 Chiapas San Lucas ,19.51,10.54
19 Chiapas Soyaló ,19.51,10.54
19 Chiapas Suchiapa ,19.51,10.54
19 Chiapas Tecpatán ,19.51,10.54
19 Chiapas Totolapa ,19.51,10.54
19 Chiapas Tuxtla Gutiérrez ,19.51,10.54
19 Chiapas Venustiano Carranza ,19.51,10.54
19 Chiapas Villa Corzo ,19.51,10.54
19 Chiapas Villaflores ,19.51,10.54
20 Chihuahua Camargo ,19.07,10.30
20 Chihuahua La Cruz ,19.07,10.30
20 Chihuahua San Francisco de Conchos ,19.07,10.30
21 Chihuahua Aldama ,18.91,10.21
21 Chihuahua Aquiles Serdán ,18.91,10.21
21 Chihuahua Chihuahua ,18.91,10.21
21 Chihuahua Delicias ,18.91,10.21
21 Chihuahua Rosales ,18.91,10.21
21 Chihuahua Santa Isabel ,18.91,10.21
21 Chihuahua Satevó ,18.91,10.21
22 Chihuahua Bachíniva ,18.99,10.25
22 Chihuahua Bocoyna ,18.99,10.25
22 Chihuahua Carichí ,18.99,10.25
22 Chihuahua Chínipas ,18.99,10.25
22 Chihuahua Cuauhtémoc ,18.99,10.25
22 Chihuahua Cusihuiriachi ,18.99,10.25
22 Chihuahua Dr. Belisario Domínguez ,18.99,10.25
22 Chihuahua Gran Morelos ,18.99,10.25
22 Chihuahua Guazapares ,18.99,10.25
22 Chihuahua Guerrero ,18.99,10.25
22 Chihuahua Maguarichi ,18.99,10.25
22 Chihuahua Moris ,18.99,10.25
22 Chihuahua Ocampo ,18.99,10.25
22 Chihuahua San Francisco de Borja ,18.99,10.25
22 Chihuahua Urique ,18.99,10.25
22 Chihuahua Uruachi ,18.99,10.25
23 Chihuahua Batopilas de Manuel Gómez Morín ,18.82,10.16
23 Chihuahua Guachochi ,18.82,10.16
23 Chihuahua Guadalupe y Calvo ,18.82,10.16
23 Chihuahua Morelos ,18.82,10.16
23 Chihuahua Nonoava ,18.82,10.16
24 Chihuahua Allende ,19.09,10.31
24 Chihuahua Balleza ,19.09,10.31
24 Chihuahua Coronado ,19.09,10.31
24 Chihuahua El Tule ,19.09,10.31
24 Chihuahua Hidalgo del Parral ,19.09,10.31
24 Chihuahua Huejotitán ,19.09,10.31
24 Chihuahua Matamoros ,19.09,10.31
24 Chihuahua Rosario ,19.09,10.31
24 Chihuahua San Francisco del Oro ,19.09,10.31
24 Chihuahua Santa Bárbara ,19.09,10.31
24 Chihuahua Valle de Zaragoza ,19.09,10.31
25 Chihuahua Jiménez ,18.79,10.15
25 Chihuahua López ,18.79,10.15
26 Chihuahua Juárez ,16.70,9.02
26 Chihuahua Ahumada ,17.94,9.69
26 Chihuahua Buenaventura ,17.94,9.69
27 Chihuahua Madera ,19.76,10.67
27 Chihuahua Matachí ,19.76,10.67
27 Chihuahua Temósachic ,19.76,10.67
28 Chihuahua Julimes ,18.57,10.03
28 Chihuahua Meoqui ,18.57,10.03
28 Chihuahua Saucillo ,18.57,10.03
29 Chihuahua Gómez Farías ,19.34,10.44
29 Chihuahua Ignacio Zaragoza ,19.34,10.44
29 Chihuahua Namiquipa ,19.34,10.44
29 Chihuahua Riva Palacio ,19.34,10.44
30 Chihuahua Ascensión ,17.14,9.26
30 Chihuahua Janos ,17.14,9.26
30 Chihuahua Casas Grandes ,18.41,9.94
30 Chihuahua Galeana ,18.41,9.94
30 Chihuahua Nuevo Casas Grandes ,18.41,9.94
30 Sonora Bacadéhuachi ,18.41,9.94
30 Sonora Nácori Chico ,18.41,9.94
31 Chihuahua Coyame del Sotol ,17.52,9.46
31 Chihuahua Guadalupe ,17.52,9.46
31 Chihuahua Manuel Benavides ,17.52,9.46
31 Chihuahua Ojinaga ,17.52,9.46
31 Chihuahua Praxedis G. Guerrero ,17.52,9.46
32 Ciudad de México Álvaro Obregón ,18.64,10.06
32 Ciudad de México Azcapotzalco ,18.64,10.06
32 Ciudad de México Benito Juárez ,18.64,10.06
32 Ciudad de México Coyoacán ,18.64,10.06
32 Ciudad de México Cuajimalpa de Morelos ,18.64,10.06
32 Ciudad de México Cuauhtémoc ,18.64,10.06
32 Ciudad de México Gustavo A. Madero ,18.64,10.06
